,author,home_url,helpful,funny,appraise,played_hour,post_month,post_day,games,reply,image,review
10,DeadlyKitten7,https://steamcommunity.com/id/DeadlyKitten7/,"1,887",22,1,51.3,February,13,300,0,1,"I am obsessed with this game. As a fan of Harry Potter I must say this is the game we all waited for.✔️grow your own plants✔️brew your own potions✔️collect and tend to magical beasts✔️participate in all the classes we love and adore from the books and the movies✔️fly around on your broom or Hippogriff ✔️the room of requirements ✔️HogsmeadeAnd so, so, so many more things that I was looking forward to and they delivered.Love how you can customize the aspect of your gear.And don't even get me started on the combat and story.Haven't had this much fun playing a game since Witcher 3!"
11,Nunjiko,https://steamcommunity.com/profiles/76561198330419772/,"5,192","5,326",1,1.7,February,11,243,0,1,"You can do everything you can't do in real life, like casting magic and talking to girls"
12,Psyprass,https://steamcommunity.com/profiles/76561198036385268/,648,468,1,142.4,February,21,182,3,1,"""Can you imagine how inconvenient travel was before I invented Floo Powder?"" Ignatia Wildsmith asked calmly."
13,[HH]Volstraiger,https://steamcommunity.com/id/volstraiger/,"1,213",21,1,74.0,February,12,132,0,1,"So I have finished my first playthrough of the game, have put 57.9 hours into it at this point and completed the content to 100% outside of a few steam trophies.Personally, I have really enjoyed this game and think it's a great release and everything I ever wanted out of a Harry Potter game. The story is good, the voice acting is actually phenomenal on the part of the non player characters. As for the player characters there is a slight issue of a robotic voice likely due to the pitch but nothing that was game breaking. The combat is engaging, though I do lament a lack of variety when it comes to the enemies we confront. Hogwarts and the world are represented in incredible detail and I have lost myself running through the castle and taking it in more than once.I have a few gripes with the game sadly, that I do hope are fixed in down the line. The lack of a photo mode for example, a few animation issues with certain foes like the trolls who rubberband to follow the player character to complete their animations, and as said above a lack of enemy variety. As well, I wish there were more missions in the school focused around the student life, as we quickly feel like a part time student. The castle does lack a bit in classes to take to learn more about the universe itself or even just student activities like Quidditch, Wizards Chess, and more.Outside of those slight gripes with the game, I think Avalanche did a terrific job bringing the universe of Harry Potter to life through this game. And I look forward to what they do in the future with it, may it be via DLC or potential similar games exploring other parts of the wizarding world with other academies like Ilvermorny, Beauxbâtons, Durmstrang or even stories focused around the adults of the universe with the Ministries. I believe a lot of people may enjoy playing as an Auror or a Unspeakable."
14,D4wn,https://steamcommunity.com/id/MatureContent/,"2,195",50,1,16.0,February,13,"4,399",14,1,Add Quidditch and Wizard's Chess please
15,BoyToy,https://steamcommunity.com/profiles/76561198300038062/,"2,343",263,1,50.6,February,17,133,0,1,You can pet the cats
16,Vasharal,https://steamcommunity.com/id/Vasharal/,"1,127",26,1,124.2,March,6,"1,559",76,1,"Hogwarts Legacy is an open world that isn't afraid to impress you at every step of the way. You play as one of the Hogwarts students learning the world and exploring its secrets. Dangers are at every step and it's up to you to become the most powerful witch or wizard Hogwarts has seen in a long time. Rate: ★★★★☆ Surprisingly the game has a lot more to offer than what trailers show. Combat feels good, with a large array of spells that controls the battlefield and gives you the freedom to do whatever you like.Learning new spells is done via side quests and main missions which oftentimes are pretty nicely crafted. In the game you are faced with a lot of collecting, puzzle-solving, exploring, and sightseeing.Although some areas of exploration can get a bit too much even for the ones that wish to complete the game 100%, the game can be fully enjoyed, and go through the main campaign and pick the side quests with a lot of enjoyment. Rate: ★★★★★  I've had a lot of fun exploring this game. Hogwarts is rich with fun areas to explore. The world continues to impress you and learning new skills and putting them to test is fun and rewarding.  Rate: ★★★★★ This game looks absolutely stunning and it would be without a doubt one of the best-looking games I've played this year. Ray-tracing adds up with a great umph to the overall look, but due to poor performance, it can be heavily costly on your GPU.The world and the key areas look distinguished, remarkable, and jaw-dropping. This game is a really pretty game and each screenshot I took I am not ashamed to share. Rate: ★★★★★Sound effects and voice acting are strong in this game and oftentimes feel very polished. I did find some skipped dialogues by the end of some conversations which may be a bug, but other than that, I think pretty much all dialogues and characters are well-voiced.I have to remark that there's a large array of English dialects, from African, possible Uganda, to Indian accents are well done and feels nice to be able to hear such differences.  Rate: ★★★★☆ Although the end of the game felt a bit weak and the villain wasn't necessarily defined very well, the whole build-up of the story is interesting until that point. Characters are fascinating and despite not being a fan of Harry Potter, I can say that the world and the people are extremely interesting and I was easily captivated by the visuals and the theme the game presents.  🔲  Short (1-8h)🔲 Medium (8-15h)🔲 Long  (15-25h)☑️ Very Long  (25h+)🔲 Unlimited  It's a fairly long game if you intend to finish this game completely and do all 4 houses. The main story alone takes a while and some side quests are too interesting to skip.   ☑️ Easy ☑️ Normal ☑️ Hard 🔲 Brutally Hard 🔲 Impossible  The game isn't too difficult and unless you wish a slightly bigger challenge there is something for you. By the end of the game, as you understand the mechanics of the game and how combat works you'll become a powerful wizard/witch. Hogwarts Legacy is by far one of the best Harry Potter games ever created and this opens up to new possibilities for this IP. As a non-fan of the franchise, I think the game offers a strong open-world experience without overwhelming you with lots of tasks to do, unless you wish to do them. Puzzles are rather simple, but fun and the whole world made me appreciate the game even more."
17,❤Ilona,https://steamcommunity.com/id/imAgoodSensation/,"1,537","1,333",1,14.5,February,15,377,27,1,Voldemort's going to seem like Gandhi after I'm done with this game
18,POTATO,https://steamcommunity.com/id/franet/,"4,815","2,081",1,86.2,February,11,"4,063",34,1,*Revelio*
19,Cal Kestis,https://steamcommunity.com/id/CalKestis/,"5,163",292,1,87.4,February,11,700,159,1,It's crazy how respecting the fans and source material actually works. Who would've thought?
20,ᴹᴿƝƠƁƠƊƳ☠,https://steamcommunity.com/id/MRNOBODY666/,"5,336","3,533",1,0.2,February,11,666,0,1,The great thing about this game is if there's any bugs the devs can just say it's magic.
21,LilFridge,https://steamcommunity.com/id/lilfridge/,810,358,1,54.6,February,15,164,0,1,Could it get any cosier than Hogsmead?
22,Dis_Dood,https://steamcommunity.com/profiles/76561199112667167/,"1,820",87,1,18.9,February,16,45,0,1,---{ Graphics }---☐ You forget what reality is☑ Beautiful☐ Good☐ Decent☐ Bad☐ Don‘t look too long at it☐ MS-DOS---{ Gameplay }---☐ Very good☑ Good☐ It's just gameplay☐ Mehh☐ Watch paint dry instead☐ Just don't---{ Audio }---☐ Eargasm☑ Very good☐ Good☐ Not too bad☐ Bad☐ I'm now deaf---{ Audience }---☑ Kids☑ Teens☑ Adults☑ Grandma---{ PC Requirements }---☐ Check if you can run paint☐ Potato☐ Decent☐ Fast☑ Rich boi (NASA computer if you want highest graphics)☐ Ask NASA if they have a spare computer---{ Difficulty }---☐ Just press 'W'☐ Easy☑ Easy to learn / Hard to master☐ Significant brain usage☐ Difficult☐ Dark Souls---{ Grind }---☐ Nothing to grind☐ Only if u care about leaderboards/ranks☐ Isn't necessary to progress☑ Average grind level☐ Too much grind☐ You'll need a second life for grinding---{ Story }---☐ No Story☐ Some lore☐ Average☑ Good (Sebastian's quests carry)☐ Lovely☐ It'll replace your life---{ Game Time }---☐ Long enough for a cup of coffee☐ Short☐ Average☑ Long☐ To infinity and beyond---{ Price }---☐ It's free!☑ Worth the price☐ If it's on sale☐ If u have some spare money left☐ Not recommended☐ You could also just burn your money---{ Bugs }---☐ Never heard of☐ Minor bugs☑ Can get annoying (might just be my pc)☐ ARK: Survival Evolved☐ The game itself is a big terrarium for bugs---{ ? / 10 }---☐ 1☐ 2☐ 3☐ 4☐ 5☐ 6☐ 7☐ 8☑ 9☐ 10
23,persianbutcherr,https://steamcommunity.com/id/Persianbutcher/,384,18,1,51.0,February,20,287,0,1,If only have pause in cut scenes
24,Choobacca,https://steamcommunity.com/id/Choobacca/,514,7,1,30.2,February,13,378,0,1,Pretty much the game I've dreamed about since I was a kid.
25,part time world saviour,https://steamcommunity.com/id/verywetsocks/,"1,180",215,1,47.0,February,13,21,5,1,can pet cat
26,Rod,https://steamcommunity.com/id/rodiniz/,482,11,1,44.6,February,13,795,0,1,Finally a game that is more than we expected.
27,Renon,https://steamcommunity.com/profiles/76561198034026903/,"1,543",998,1,62.3,February,11,20,0,1,Please send help. I was transported into the Wizarding world and cannot pull myself away. Wife's not happy. But I am.
28,I do not recall,https://steamcommunity.com/id/annascorgie/,"1,446","1,124",1,74.9,March,1,43,24,1,revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio revelio
29,Motivia,https://steamcommunity.com/id/Motivia/,873,11,1,109.5,February,11,"2,171",0,1,"Updated Review as of 35 hours combined total.  I wanted to add a few more thoughts.My daughter who is closing in on 18, and my half century year old self have both been fans of Harry Potter and the Wizarding World. I read the books to her when she was younger and then on my own. We’ve watched the movies and it has always been great bonding for us.I preordered the Deluxe edition on Steam when it first came available. I knew my Desktop would handle it but had some concerns about the Steam Deck which has become my device of choice to game on when I feel up to it health wise. Luckily it got Steam Deck Verified before early launch.During early launch we spent about about 10 hours into the game. I put a couple hours in on my Steam Deck with no issues and it ran a solid 30 FPS except the very sparse drop to mid to high 20s on some cutscenes. Note that I made no changes to the stock installation settings. Also note that I play in performance mode as I am plugged in while in bed or on the sofa 99% of my playtime. My daughter had about 8 on our primary desktop which is an aging i5-7400 @ 3Ghz, 16GB RAM, SSD with a GeForce 1060 GTX and reported no issues either.At this point we have over 35 hours in with the majority of them being my daughter on the PC and me making up about a third of the remaining hours on the Deck. During those hours we each experienced one crash. For her it was a CTD for myself it was a crash that locked up Proton causing a force restart of the switch. Note both of these crashes were prior to the Day 1 patch and we haven’t ran into any further issues since.Gameplay is fun and a lot more interesting and in-depth than I expected. Learning the various arts like potion making, herbalism, and so long always gives you something to do. I am known for almost always turning off in game music but the soundtrack is perfect for reminding you what world you are in. There are more than enough side quests to keep you busy, to the point of falling behind and losing track of the main quest.There are puzzles at every turn that are both hard but not impossible. I have yet to have to refer to a walkthrough as much as at times I wanted to. This game really keeps you wanting to avoid spoilers and accomplish things on your own. You will meet a lot of classmates and others on and off campus, however there is really a fairly limited pool that you regularly interact with. That said you will quickly make close friends and even your own Draco Malfoy types who you will hate but might end up have a truce with.All in all my daughter and my biggest complaint is the lack of better character customization. There are a fair number of presets but there is no ability to adjust outside those presets such as adjust lips or cheeks, noses to your own design outside the presets slider. There is no hight or weight adjustment. I like the amount of control over skin tones and as mentioned there are a fair amount of sliders.However by modern standards it’s barebones. It’s sad when I have played phone f2p games that have better character creation when you can only really only see your character at the selection screen than a $70-90 USD that everyone is going to want to go all out on character design. It is for this primary reason along with my dislike of how hard on the Deck and I assume PC selection of Foo Flame travel points is harder than it should be. I watched my daughter do fast travel via KVM and it was smooth as could be. I do so on the deck and I eventually give up and fly or walk there.That said we still rate this game a very strong 9/10 and already call it GOTY for us."
30,DrBurDaddy,https://steamcommunity.com/profiles/76561198350167833/,596,273,1,50.6,February,15,109,10,1,"""Why spiders? Why couldn't it be 'follow the butterflies'?"" – Ron Weasley"
31,ZzzoO,https://steamcommunity.com/id/zzzoo17/,461,82,1,63.0,February,21,165,3,1,"Remove half of the Merlin trials I would rate it 12/10, now you only got 10/10 :D"
32,Bitzii,https://steamcommunity.com/id/Bitzii/,664,143,1,28.3,February,12,365,0,1,"I normally write really lengthy reviews, but you'll do enough reading in class.9/10"
33,⛧ M†ropele ⛧,https://steamcommunity.com/profiles/76561198142247081/,"1,788","2,103",1,1.3,February,11,548,8,1,When they put the sorting hat on me it's gonna say “Azkaban“
34,Carlos,https://steamcommunity.com/id/SloppyTangler/,366,112,1,2.8,February,16,235,0,1,Shadow Wizard Money Gang
35,Dragontail,https://steamcommunity.com/id/NotUrGenre/,601,24,1,159.3,February,14,167,0,1,"The only game in two years that I have bought that was finished before release. 100's of hours of exploration and action.75 hours of game play before I found a single game bug, an npc in Hogsmead did not have a face, I considered that too minor to report, it does not affect the game play."
36,Fleta Viper Heesu diem BeBe,https://steamcommunity.com/id/LeeJaeGon/,"2,683",228,1,9.0,February,13,41,0,1,"As someone who was recently diagnosed with a terminal illness and given less than a year to live, I'm incredibly grateful to have played hogwarts legacy before my time runs out. This game is a true masterpiece, with every aspect, from the gameplay to the atmosphere, graphics, and story, expertly crafted. I highly recommend it to anyone who loves immersive and engaging gaming experiences. Thank you to the developers for creating such a fantastic game that has given me joy and excitement during a difficult time."
